date,price,cpi,rpo,
Jan-99,10.16,164.7,6.168791743,6.594344823
Feb-99,10.33,164.7,6.272009715,9.298982548
Mar-99,12.1,164.8,7.34223301,11.8099017
Apr-99,14.82,165.9,8.933092224,13.67594671
May-99,15.57,166,9.379518072,15.74952501
Jun-99,15.91,166,9.584337349,15.46432103
Jul-99,18.05,166.7,10.82783443,16.83103008
Aug-99,19.56,167.1,11.70556553,16.24445935
Sep-99,21.64,167.8,12.89630513,
Oct-99,21.62,168.1,12.86139203,
Nov-99,23.14,168.4,13.74109264,
Dec-99,24.35,168.8,14.42535545,
Jan-00,25.29,169.3,14.93797992,
Feb-00,27.39,170,16.11176471,
Mar-00,27.7,171,16.19883041,
Apr-00,24.29,170.9,14.21299005,
May-00,26.35,171.2,15.39135514,
Jun-00,28.91,172.2,16.78861789,
Jul-00,28,172.7,16.21308628,
Aug-00,28.8,172.7,16.67631731,
Sep-00,30.56,173.6,17.60368664,
Oct-00,29.71,173.9,17.08453134,
Nov-00,30,174.2,17.22158439,
Dec-00,25.19,174.6,14.42726231,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
