,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,,Average
Wood products,0.026638287,0.023553006,0.027750695,0.049658997,0.053778831,0.033588199,0.035151364,0.033692887,0.042278838,0.038078232,0.043314831,,0.037044015
Nonmetallic mineral products,0.060094589,0.060929994,0.070270064,0.086975461,0.113433117,0.074390061,0.07875965,0.082840133,0.095839548,0.085028684,0.091883046,,0.081858577
Primary metals,0.050285743,0.057963256,0.085271528,0.096155262,0.145964179,0.089748061,0.087465068,0.075912064,0.078580369,0.058439387,0.06117874,,0.08063306
Fabricated metal products,0.027434289,0.025677783,0.039979897,0.047232966,0.068555333,0.035284507,0.036437813,0.02996957,0.034094067,0.02582711,0.030745115,,0.036476223
Machinery,0.019005324,0.0161966,0.020942027,0.025258507,0.034143896,0.021520852,0.023408791,0.02306865,0.024513732,0.023018675,0.023431355,,0.023137128
Computer and electronic products,0.016173389,0.014651464,0.024062789,0.024292249,0.035968598,0.017455877,0.01709305,0.017440442,0.018616507,0.015565262,0.01977724,,0.020099715
"Electrical equipment, appliances, and components",0.027970178,0.027465786,0.034024323,0.035815897,0.05237348,0.031936477,0.036519748,0.0323526,0.035738265,0.030282761,0.038451925,,0.034811949
"Motor vehicles, bodies and trailers, and parts",0.00657806,0.006128927,0.009664852,0.01128261,0.018572752,0.009798246,0.009626068,0.008442169,0.00933551,0.008229539,0.011067886,,0.009884238
Other transportation equipment,0.009875668,0.011725651,0.013210238,0.013194995,0.023152841,0.01471631,0.012619499,0.011816474,0.016808671,0.011284479,0.013483687,,0.013808047
Furniture and related products,0.018818712,0.017975036,0.021080571,0.025601699,0.035155131,0.020596047,0.020927388,0.018837709,0.022896089,0.021370074,0.025431221,,0.022608152
Miscellaneous manufacturing,0.021518966,0.021337173,0.023868843,0.027406877,0.034442423,0.020713777,0.020322988,0.020342414,0.024020043,0.022887242,0.02741049,,0.024024658
Food and beverage and tobacco products,0.016448372,0.01817673,0.024747938,0.032474605,0.044477593,0.028577388,0.025607878,0.026047573,0.030835698,0.025541274,0.030145151,,0.027552745
Textile mills and textile product mills,0.026222445,0.020865157,0.028878939,0.041195746,0.058843991,0.039956383,0.039767216,0.041792724,0.046181141,0.041306622,0.043979429,,0.038999072
Apparel and leather and allied products,0.019637243,0.019004297,0.023759309,0.028810531,0.034638861,0.025868124,0.027552234,0.030703001,0.030179415,0.025280899,0.019992225,,0.025947831
Paper products,0.044091016,0.045653983,0.052079111,0.070423507,0.095124523,0.068106481,0.071570393,0.069152333,0.086124005,0.070203463,0.080757449,,0.068480569
Printing and related support activities,0.05157753,0.042404785,0.051977951,0.067218819,0.083076723,0.055187025,0.068295339,0.07012235,0.073617943,0.084217359,0.084538077,,0.066566718
Petroleum and coal products,0.921799562,0.912053473,0.890533109,0.937472269,0.943217645,0.90508516,0.971405154,0.973684926,0.954812154,0.946743296,0.935931508,,0.935703478
Chemical products,0.088833111,0.086019189,0.105407686,0.134292952,0.134522995,0.101492333,0.132963427,0.146250262,0.157937917,0.134806665,0.123266066,,0.122344782
Plastics and rubber products,0.036303045,0.035892499,0.052279727,0.058934926,0.083594664,0.04239223,0.038575772,0.035871089,0.038164494,0.035889663,0.043399183,,0.045572481
